
> club-la-victoria@0.1.0 dev
> next dev -H 0.0.0.0

▲ Next.js 16.1.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://0.0.0.0:3000
- Environments: .env

✓ Starting...
✓ Ready in 1542ms
 GET /cobros/morosos 200 in 49ms (compile: 8ms, render: 41ms)
 GET /cobros/morosos 200 in 26ms (compile: 3ms, render: 23ms)
 GET /cobros/estado-pagos 200 in 138ms (compile: 10ms, render: 128ms)
 GET /login 200 in 37ms (compile: 3ms, render: 34ms)
 GET /login 200 in 41ms (compile: 3ms, render: 38ms)
 GET /login 200 in 43ms (compile: 4ms, render: 39ms)
 GET /login 200 in 46ms (compile: 4ms, render: 43ms)
 GET /socios 200 in 50ms (compile: 3ms, render: 47ms)
 GET /cobros/reportes 200 in 59ms (compile: 6ms, render: 53ms)
 GET /login 200 in 58ms (compile: 6ms, render: 52ms)
 GET /login 200 in 89ms (compile: 7ms, render: 82ms)
 GET /socios 200 in 294ms (compile: 155ms, render: 140ms)
 GET /socios 200 in 142ms (compile: 15ms, render: 127ms)
 GET /cobros/morosos 200 in 130ms (compile: 10ms, render: 120ms)
 GET /cobradores/cuenta-corriente 200 in 356ms (compile: 62ms, render: 294ms)
 GET /cobros/morosos 200 in 147ms (compile: 17ms, render: 131ms)
 GET /cobros/morosos 200 in 95ms (compile: 11ms, render: 83ms)
 GET /login 200 in 54ms (compile: 5ms, render: 50ms)
 GET /socios 200 in 21ms (compile: 3ms, render: 18ms)
 POST /api/v1/cobros/generar 404 in 258ms (compile: 137ms, render: 122ms)
 GET /login 200 in 41ms (compile: 4ms, render: 37ms)
 GET /socios 200 in 20ms (compile: 3ms, render: 17ms)
 GET /login 200 in 39ms (compile: 3ms, render: 36ms)
 GET /api/v1/cobros/recibo/html/1 404 in 62ms (compile: 14ms, render: 47ms)
 GET /login 200 in 38ms (compile: 4ms, render: 34ms)
 GET /login 200 in 42ms (compile: 4ms, render: 39ms)
 GET /login 200 in 39ms (compile: 3ms, render: 36ms)
 GET /login 200 in 38ms (compile: 3ms, render: 35ms)
 GET /socios 200 in 36ms (compile: 4ms, render: 32ms)
 GET /socios/crear 200 in 234ms (compile: 92ms, render: 142ms)
 GET /login 200 in 62ms (compile: 7ms, render: 55ms)
 GET /socios 200 in 82ms (compile: 8ms, render: 74ms)
 GET /socios 200 in 44ms (compile: 8ms, render: 36ms)
 GET /api/v1/cobros/talonario 404 in 195ms (compile: 60ms, render: 135ms)
 GET /login 200 in 41ms (compile: 3ms, render: 38ms)
 GET /socios 200 in 21ms (compile: 3ms, render: 18ms)
 GET /api/v1/cobros/tarjeta-centro/archivo?periodo=2026-02 404 in 51ms (compile: 16ms, render: 35ms)
 GET /login 200 in 38ms (compile: 3ms, render: 35ms)
 GET /socios 200 in 20ms (compile: 4ms, render: 17ms)
 GET /socios/crear 200 in 43ms (compile: 3ms, render: 40ms)
 GET /socios 200 in 18ms (compile: 3ms, render: 15ms)
 GET /login 200 in 45ms (compile: 3ms, render: 42ms)
 GET /socios 200 in 23ms (compile: 4ms, render: 19ms)
 GET /socios/crear 200 in 55ms (compile: 6ms, render: 49ms)
 GET /login 200 in 55ms (compile: 3ms, render: 52ms)
 GET /socios 200 in 24ms (compile: 4ms, render: 20ms)
 GET /login 200 in 35ms (compile: 3ms, render: 32ms)
 GET /login 200 in 43ms (compile: 3ms, render: 40ms)
 GET /login 200 in 46ms (compile: 4ms, render: 42ms)
 GET /login 200 in 40ms (compile: 4ms, render: 36ms)
 GET /socios 200 in 26ms (compile: 4ms, render: 22ms)
 GET /socios/crear 200 in 58ms (compile: 7ms, render: 51ms)
 GET /socios 200 in 22ms (compile: 5ms, render: 17ms)
 GET /login 200 in 41ms (compile: 3ms, render: 38ms)
 GET /socios 200 in 26ms (compile: 4ms, render: 23ms)
 GET /cobros/generar 200 in 41ms (compile: 4ms, render: 37ms)
 GET /login 200 in 44ms (compile: 4ms, render: 40ms)
 GET /socios 200 in 33ms (compile: 4ms, render: 29ms)
 GET /socios/crear 200 in 47ms (compile: 5ms, render: 42ms)
 GET /socios 200 in 21ms (compile: 4ms, render: 17ms)
 GET /cobros/generar 200 in 47ms (compile: 4ms, render: 42ms)
 GET /login 200 in 42ms (compile: 3ms, render: 39ms)
 GET /socios 200 in 37ms (compile: 4ms, render: 33ms)
 GET /cobros/generar 200 in 44ms (compile: 4ms, render: 40ms)
 GET /login 200 in 58ms (compile: 15ms, render: 42ms)
 GET /socios 200 in 34ms (compile: 16ms, render: 18ms)
 GET /socios/crear 200 in 52ms (compile: 5ms, render: 47ms)
 GET /socios 200 in 30ms (compile: 3ms, render: 27ms)
 GET /login 200 in 35ms (compile: 3ms, render: 33ms)
 GET /socios 200 in 21ms (compile: 3ms, render: 18ms)
 GET /socios/crear 200 in 39ms (compile: 3ms, render: 36ms)
 GET /socios 200 in 18ms (compile: 3ms, render: 15ms)
 GET /login 200 in 35ms (compile: 2ms, render: 33ms)
 GET /socios 200 in 23ms (compile: 3ms, render: 20ms)
 GET /cobros/pagos 200 in 37ms (compile: 4ms, render: 33ms)
 GET /login 200 in 38ms (compile: 3ms, render: 36ms)
 GET /socios 200 in 20ms (compile: 3ms, render: 17ms)
 GET /socios/crear 200 in 43ms (compile: 3ms, render: 40ms)
 GET /socios 200 in 20ms (compile: 3ms, render: 18ms)
 GET /login 200 in 35ms (compile: 3ms, render: 32ms)
 GET /socios 200 in 29ms (compile: 3ms, render: 26ms)
 GET /socios/167 200 in 471ms (compile: 393ms, render: 77ms)
 GET /socios/167/cuenta-corriente 200 in 423ms (compile: 344ms, render: 80ms)
 GET /login 200 in 35ms (compile: 2ms, render: 33ms)
 GET /socios 200 in 21ms (compile: 3ms, render: 18ms)
 GET /cobros/categorias 200 in 50ms (compile: 4ms, render: 46ms)
 GET /login 200 in 34ms (compile: 2ms, render: 32ms)
 GET /login 200 in 42ms (compile: 3ms, render: 39ms)
 GET /socios 200 in 31ms (compile: 3ms, render: 28ms)
 GET /cobros/categorias 200 in 43ms (compile: 5ms, render: 38ms)
 GET /login 200 in 35ms (compile: 2ms, render: 33ms)
 GET /socios 200 in 20ms (compile: 3ms, render: 17ms)
 GET /socios/crear 200 in 38ms (compile: 3ms, render: 35ms)
 GET /socios 200 in 22ms (compile: 3ms, render: 19ms)
 GET /cobros/generar 200 in 43ms (compile: 3ms, render: 40ms)
 GET /cobros/generar 200 in 46ms (compile: 3ms, render: 44ms)
 GET /login 200 in 37ms (compile: 2ms, render: 34ms)
 GET /socios 200 in 18ms (compile: 3ms, render: 16ms)
 GET /socios/crear 200 in 39ms (compile: 3ms, render: 36ms)
 GET /socios 200 in 18ms (compile: 3ms, render: 15ms)
 GET /login 200 in 40ms (compile: 3ms, render: 37ms)
 GET /socios 200 in 23ms (compile: 3ms, render: 20ms)
 GET /cobros/generar 200 in 39ms (compile: 3ms, render: 36ms)
 GET /login 200 in 36ms (compile: 2ms, render: 33ms)
 GET /socios 200 in 22ms (compile: 4ms, render: 18ms)
 GET /cobros/generar 200 in 37ms (compile: 3ms, render: 34ms)
 GET /login 200 in 37ms (compile: 3ms, render: 34ms)
 GET /login 200 in 38ms (compile: 3ms, render: 35ms)
 GET /socios 200 in 20ms (compile: 3ms, render: 17ms)
 GET /cobros/generar 200 in 53ms (compile: 4ms, render: 50ms)
 GET /login 200 in 42ms (compile: 3ms, render: 39ms)
 GET /socios 200 in 19ms (compile: 3ms, render: 16ms)
 GET /socios/crear 200 in 40ms (compile: 3ms, render: 38ms)
 GET /socios 200 in 18ms (compile: 3ms, render: 15ms)
 GET /cobros/generar 200 in 47ms (compile: 3ms, render: 45ms)
 GET /login 200 in 35ms (compile: 3ms, render: 32ms)
 GET /socios 200 in 19ms (compile: 3ms, render: 16ms)
 GET /socios/crear 200 in 37ms (compile: 3ms, render: 34ms)
 GET /socios 200 in 18ms (compile: 3ms, render: 15ms)
 GET /login 200 in 38ms (compile: 3ms, render: 35ms)
 GET /socios 200 in 19ms (compile: 3ms, render: 16ms)
 GET /cobros/generar 200 in 52ms (compile: 3ms, render: 50ms)
 GET /login 200 in 35ms (compile: 3ms, render: 32ms)
 GET /socios 200 in 22ms (compile: 3ms, render: 19ms)
 GET /socios/crear 200 in 41ms (compile: 3ms, render: 38ms)
 GET /socios 200 in 20ms (compile: 3ms, render: 17ms)
 GET /login 200 in 37ms (compile: 3ms, render: 34ms)
 GET /socios 200 in 28ms (compile: 3ms, render: 25ms)
 GET /cobros/pagos 200 in 43ms (compile: 3ms, render: 40ms)
 GET /login 200 in 36ms (compile: 3ms, render: 34ms)
 GET /socios 200 in 20ms (compile: 3ms, render: 17ms)
 GET /socios/172/cuenta-corriente 200 in 60ms (compile: 14ms, render: 46ms)
 GET /login 200 in 36ms (compile: 3ms, render: 33ms)
 GET /socios 200 in 20ms (compile: 3ms, render: 17ms)
 GET /socios/172/cuenta-corriente 200 in 55ms (compile: 11ms, render: 45ms)
 GET /login 200 in 36ms (compile: 3ms, render: 33ms)
